eeg_file,timesteps
Bonobo10260_0,206335
Bonobo09458_0,746025
Bonobo11235_0,498486
Bonobo07504_0,505359
Bonobo11201_0,345103
Bonobo03178_1,480180
Bonobo10400_0,383975
Bonobo11280_0,389908
Bonobo07965_0,326666
Bonobo09955_0,240088
Bonobo08595_0,231482
Bonobo02568_1,523240
Bonobo10671_0,701233
Bonobo08567_0,496929
Bonobo10057_0,244244
Bonobo07371_0,535920
Bonobo08565_0,496580
Bonobo09765_0,259716
Bonobo08702_0,613903
Bonobo09216_0,541141
Bonobo03735_1,581272
Bonobo08968_0,508403
Bonobo08198_0,469126
Bonobo10574_0,288874
Bonobo10793_0,391500
Bonobo09788_0,502909
Bonobo08397_0,325920
Bonobo09838_0,361618
Bonobo11270_0,268416
Bonobo09932_0,385476
Bonobo09218_0,427503
Bonobo11079_0,174607
Bonobo11035_0,334573
Bonobo07136_0,400452
Bonobo07756_0,459739
Bonobo10759_0,382458
Bonobo01010_1,330802
Bonobo11264_0,611645
Bonobo11436_0,439321
Bonobo03091_1,549023
Bonobo10216_0,637060
Bonobo11541_0,535203
Bonobo10217_0,618054
Bonobo09401_0,583641
Bonobo10170_0,411500
Bonobo08332_0,462949
Bonobo07752_0,197613
Bonobo10846_0,296402
Bonobo07750_0,208382
Bonobo07208_0,184184
Bonobo07682_0,473791
Bonobo01361_1,445197
Bonobo09537_0,474681
Bonobo09877_0,560747
Bonobo09462_0,432128
Bonobo00482_1,336889
Bonobo09444_0,409928
Bonobo09394_0,394800
Bonobo08933_0,464940
Bonobo07108_0,450786
Bonobo01434_1,393766
Bonobo07408_0,468520
Bonobo09220_0,356716
Bonobo10485_0,461010
Bonobo09005_0,384531
Bonobo07691_0,462069
Bonobo10606_0,346104
Bonobo08605_0,502013
Bonobo10536_0,416874
Bonobo11339_0,644514
Bonobo03535_1,407221
Bonobo07368_0,502759
Bonobo07221_0,419784
Bonobo09517_0,389862
Bonobo11507_0,431038
Bonobo10514_0,1213506
Bonobo11100_0,487295
Bonobo08296_0,197000
Bonobo10175_0,366560
Bonobo10131_0,309364
Bonobo10788_0,301807
Bonobo08323_0,580044
Bonobo09474_0,356438
Bonobo08890_0,571995
Bonobo10442_0,408313
Bonobo10290_0,232782
Bonobo09940_0,679620
Bonobo10355_0,279851
Bonobo00862_1,195158
Bonobo10259_0,373042
Bonobo07227_0,295408
Bonobo09634_0,698150
Bonobo09864_0,299835
Bonobo04900_1,320335
Bonobo01339_1,213679
Bonobo09575_0,401448
Bonobo07697_0,248520
Bonobo10416_0,231287
Bonobo09382_0,513748
Bonobo07809_0,318015
Bonobo09685_0,320247
Bonobo05686_1,233048
Bonobo04917_1,230180
Bonobo05705_1,358694
Bonobo09567_0,558945
Bonobo04522_1,214663
Bonobo08886_0,410012
Bonobo09762_0,622285
Bonobo11345_0,290527
Bonobo01495_1,209414
Bonobo08627_0,581123
Bonobo07434_0,411584
Bonobo08715_0,526440
Bonobo00452_1,224541
Bonobo11375_0,738522
Bonobo08705_0,307871
Bonobo08810_0,476492
Bonobo04811_1,1051276
Bonobo08950_0,263435
Bonobo04514_1,396529
Bonobo08202_0,306505
Bonobo10974_0,538175
Bonobo09111_0,521233
Bonobo11514_0,652988
Bonobo07766_0,381705
Bonobo08065_0,336651
Bonobo10960_0,241392
Bonobo07269_0,352883
Bonobo05024_1,191280
Bonobo11318_0,519338
Bonobo08141_0,469761
Bonobo10774_0,326916
Bonobo10710_0,332757
Bonobo07228_0,877423
Bonobo07298_0,486897
Bonobo09822_0,222710
Bonobo10056_0,431840
Bonobo10417_0,725699
Bonobo10553_0,459223
Bonobo09706_0,472112
Bonobo11210_0,621364
Bonobo09934_0,614459
Bonobo09768_0,498383
Bonobo10809_0,353088
Bonobo05935_1,468593
Bonobo10143_0,512240
Bonobo10932_0,292852
Bonobo02443_1,518255
Bonobo09552_0,529608
Bonobo11184_0,268450
Bonobo11069_0,595929
Bonobo00297_1,355700
Bonobo10552_0,419890
Bonobo09568_0,510612
Bonobo03311_1,204052
Bonobo10202_0,542336
Bonobo10471_0,609204
Bonobo09742_0,627300
Bonobo00740_1,328262
Bonobo10293_0,567289
Bonobo11389_0,487229
Bonobo09870_0,239289
Bonobo05972_1,298240
Bonobo04273_1,412936
Bonobo10925_0,365214
Bonobo10834_0,682902
Bonobo02951_1,533127
Bonobo09175_0,213331
Bonobo09101_0,593360
Bonobo08185_0,578438
Bonobo07688_0,691331
Bonobo07850_0,425282
Bonobo08799_0,558059
Bonobo08729_0,559442
Bonobo07252_0,405007
Bonobo10549_0,686164
Bonobo07826_0,188517
Bonobo10555_0,634107
Bonobo08859_0,186886
Bonobo11411_0,245357
Bonobo02316_1,565177
Bonobo10357_0,317684
Bonobo10628_0,603769
Bonobo08770_0,451960
Bonobo07709_0,659986
Bonobo09211_0,382253
Bonobo09358_0,281765
Bonobo07420_0,543775
Bonobo08540_0,330655
Bonobo10829_0,330332
Bonobo10252_0,602708
Bonobo07660_0,516447
Bonobo08846_0,569798
Bonobo11407_0,923255
Bonobo07244_0,432358
Bonobo07135_0,392868
Bonobo07425_0,656626
Bonobo03228_1,386035
Bonobo07115_0,438165
Bonobo05877_1,407259
Bonobo11708_0,824956
Bonobo09887_0,400388
Bonobo08171_0,509071
Bonobo08117_0,729848
Bonobo10209_0,679538
Bonobo08620_0,374179
Bonobo10118_0,434672
Bonobo05403_1,668943
Bonobo04566_1,279824
Bonobo08392_0,572245
Bonobo09750_0,654004
Bonobo09479_0,419734
Bonobo08576_0,474787
Bonobo11082_0,213577
Bonobo08554_0,878928
Bonobo05485_1,321292
Bonobo11546_0,2500000
Bonobo08621_0,298923
Bonobo07903_0,375038
Bonobo07349_0,512111
Bonobo07890_0,505979
Bonobo08888_0,344590
Bonobo11127_0,322471
Bonobo09820_0,399096
Bonobo09780_0,340066
Bonobo09059_0,352000
Bonobo09895_0,417263
Bonobo10589_0,608902
Bonobo11587_0,904121
Bonobo10065_0,541634
Bonobo09335_0,393104
Bonobo09511_0,584736
Bonobo11308_0,325009
Bonobo10464_0,210626
Bonobo07123_0,413207
Bonobo11080_0,368314
Bonobo10968_0,542393
Bonobo06224_1,429660
Bonobo11254_0,206177
Bonobo01853_1,398140
Bonobo08372_0,365876
Bonobo10278_0,399509
Bonobo07612_0,368413
Bonobo10134_0,567491
Bonobo07126_0,608649
Bonobo07250_0,195103
Bonobo08910_0,202564
Bonobo07404_0,532734
Bonobo08741_0,558656
Bonobo09659_0,270112
Bonobo09899_0,530212
Bonobo09096_0,322631
Bonobo11390_0,377012
Bonobo09340_0,493156
Bonobo10959_0,313588
Bonobo05230_1,10151
Bonobo07538_0,247532
Bonobo09367_0,614280
Bonobo08326_0,473002
Bonobo11054_0,361486
Bonobo10150_0,364569
Bonobo11397_0,384784
Bonobo08320_0,433527
Bonobo11526_0,305432
Bonobo11134_0,432676
Bonobo09399_0,479767
Bonobo11471_0,233923
Bonobo09922_0,542598
Bonobo05497_1,389528
Bonobo09136_0,251524
Bonobo08626_0,519279
Bonobo09414_0,249113
Bonobo11359_0,379576
Bonobo07929_0,430344
Bonobo08871_0,633869
Bonobo07943_0,607549
Bonobo10519_0,206020
Bonobo08358_0,493896
Bonobo11078_0,582424
Bonobo10155_0,337106
Bonobo11677_0,233703
Bonobo07518_0,299146
Bonobo08109_0,455478
Bonobo08999_0,389513
Bonobo07640_0,225195
Bonobo08608_0,520533
Bonobo08226_0,344220
Bonobo08930_0,338098
Bonobo08467_0,504322
Bonobo10412_0,409906
Bonobo09445_0,249826
Bonobo10839_0,750405
Bonobo01610_1,206975
Bonobo08193_0,495664
Bonobo07878_0,410192
Bonobo03357_1,526432
Bonobo10393_0,393746
Bonobo05404_1,332867
Bonobo08546_0,421097
Bonobo09093_0,498696
Bonobo06047_1,397108
Bonobo07832_0,519146
Bonobo08035_0,206308
Bonobo10811_0,624470
Bonobo08016_0,457233
Bonobo07573_0,633758
Bonobo10721_0,354576
Bonobo09860_0,465518
Bonobo10178_0,596569
Bonobo08018_0,398283
Bonobo10541_0,581754
Bonobo10002_0,443861
Bonobo07900_0,544116
Bonobo08782_0,302786
Bonobo10892_0,778128
Bonobo10336_0,735193
Bonobo00483_1,394256
Bonobo07296_0,270177
Bonobo11206_0,489516
Bonobo00505_1,842036
Bonobo09278_0,611310
Bonobo07616_0,311965
Bonobo09169_0,332328
Bonobo11216_0,329927
Bonobo08345_0,516629
Bonobo02746_1,1131540
Bonobo10704_0,344944
Bonobo07638_0,288190
Bonobo11067_0,342748
Bonobo08653_0,637455
Bonobo11515_0,578507
Bonobo09638_0,648123
Bonobo10503_0,830978
Bonobo10302_0,477742
Bonobo03521_1,594070
Bonobo08913_0,520394
Bonobo10570_0,681637
Bonobo09251_0,502397
Bonobo08037_0,393141
Bonobo09008_0,782933
Bonobo01766_1,325776
Bonobo08429_0,436491
Bonobo08648_0,381257
Bonobo08269_0,465220
Bonobo02886_1,496802
Bonobo08663_0,550568
Bonobo07614_0,582356
Bonobo10297_0,290481
Bonobo07107_0,389126
Bonobo07845_0,312116
Bonobo11573_0,340976
Bonobo10248_0,265069
Bonobo11715_0,734232
Bonobo08594_0,246400
Bonobo11212_0,407637
Bonobo07717_0,374907
Bonobo08982_0,479606
Bonobo09199_0,399500
Bonobo02266_1,326601
Bonobo07354_0,447968
Bonobo10823_0,301308
Bonobo09325_0,475625
Bonobo09221_0,582777
Bonobo11088_0,410447
Bonobo08578_0,305505
Bonobo09645_0,257100
Bonobo07703_0,564505
Bonobo09663_0,643244
Bonobo04027_1,493174
Bonobo07572_0,203911
Bonobo08828_0,331904
Bonobo09188_0,446201
Bonobo07318_0,338000
Bonobo10338_0,419181
Bonobo07704_0,250892
Bonobo10085_0,417852
Bonobo08835_0,360408
Bonobo10144_0,291467
Bonobo07870_0,477068
Bonobo10227_0,475988
Bonobo09738_0,347494
Bonobo07960_0,446779
Bonobo11475_0,648805
Bonobo08300_0,428909
Bonobo07944_0,501412
Bonobo11107_0,507182
Bonobo11056_0,1085707
Bonobo09215_0,503698
Bonobo03646_1,546719
Bonobo09635_0,613954
Bonobo07603_0,547588
Bonobo05970_1,546872
Bonobo11383_0,297979
Bonobo09951_0,281437
Bonobo07265_0,409647
Bonobo00080_1,449273
Bonobo07667_0,343558
Bonobo05356_1,496114
Bonobo09409_0,350326
Bonobo10426_0,230885
Bonobo07369_0,843308
Bonobo10751_0,251419
Bonobo01081_1,473919
Bonobo11262_0,279444
Bonobo04987_1,441240
Bonobo07621_0,433740
Bonobo10767_0,277492
Bonobo07507_0,428224
Bonobo10430_0,398525
Bonobo01963_1,387296
Bonobo10600_0,614054
Bonobo08196_0,255852
Bonobo07735_0,480219
Bonobo10146_0,181902
Bonobo07114_0,411503
Bonobo10617_0,290939
Bonobo09085_0,399913
Bonobo11630_0,400251
Bonobo07840_0,234667
Bonobo10149_0,226930
Bonobo08183_0,590988
Bonobo07593_0,341184
Bonobo09646_0,526292
Bonobo08130_0,426423
Bonobo00688_1,221247
Bonobo10215_0,637897
Bonobo03826_1,530955
Bonobo10440_0,513203
Bonobo00018_1,367944
Bonobo11401_0,519857
Bonobo10857_0,564717
Bonobo05521_1,402112
Bonobo00961_1,469392
Bonobo07637_0,380287
Bonobo09564_0,212865
Bonobo07806_0,293340
Bonobo08617_0,507940
Bonobo09210_0,447725
Bonobo07835_0,462329
Bonobo09905_0,425834
Bonobo01710_1,592803
Bonobo11124_0,263883
Bonobo10423_0,244612
Bonobo07606_0,325946
Bonobo08747_0,371091
Bonobo10330_0,415225
Bonobo07327_0,289014
Bonobo10792_0,328044
Bonobo09380_0,462341
Bonobo09007_0,531462
Bonobo09252_0,426471
Bonobo08684_0,272159
Bonobo09055_0,509442
Bonobo01986_1,401626
Bonobo07302_0,377370
Bonobo05079_1,504053
Bonobo10749_0,638672
Bonobo05577_1,406831
Bonobo10864_0,595284
Bonobo10819_0,323666
Bonobo08560_0,564687
Bonobo08107_0,313870
Bonobo09407_0,280528
Bonobo10863_0,309503
Bonobo10374_0,439400
Bonobo10848_0,833286
Bonobo09966_0,808251
Bonobo07402_0,216288
Bonobo01461_1,322791
Bonobo08085_0,283720
Bonobo08819_0,599272
Bonobo08575_0,204755
Bonobo07907_0,586891
Bonobo08569_0,557240
Bonobo07170_0,369034
Bonobo09975_0,805620
Bonobo11065_0,389984
Bonobo07743_0,490744
Bonobo10894_0,549331
Bonobo10204_0,596754
Bonobo11008_0,439280
Bonobo07993_0,482684
Bonobo08247_0,397615
Bonobo09867_0,452631
Bonobo11518_0,383199
Bonobo09167_0,232928
Bonobo07536_0,540672
Bonobo09538_0,365551
Bonobo00047_1,270532
Bonobo08444_0,584045
Bonobo11698_0,500826
Bonobo07427_0,297126
Bonobo09110_0,569074
Bonobo11750_0,304984
Bonobo10945_0,602289
Bonobo10267_0,562487
Bonobo09092_0,510588
Bonobo08613_0,448704
Bonobo10228_0,535136
Bonobo09651_0,202823
Bonobo09228_0,579321
Bonobo11177_0,542559
Bonobo08254_0,306003
Bonobo10082_0,474532
Bonobo09642_0,361323
Bonobo10961_0,470868
Bonobo07994_0,502991
Bonobo08673_0,430444
Bonobo07323_0,565102
Bonobo10509_0,338971
Bonobo10547_0,359182
Bonobo10985_0,645502
Bonobo11741_0,588968
Bonobo10262_0,429573
Bonobo08406_0,579804
Bonobo11077_0,339694
Bonobo08159_0,325988
Bonobo11058_0,222724
Bonobo08263_0,783280
Bonobo10383_0,332212
Bonobo08869_0,423280
Bonobo09372_0,374582
Bonobo06181_1,315966
Bonobo07686_0,449279
Bonobo10352_0,329744
Bonobo07588_0,482264
Bonobo10218_0,482443
Bonobo08986_0,474195
Bonobo02904_1,387084
Bonobo10294_0,508189
Bonobo00517_1,464476
Bonobo10172_0,352672
Bonobo08459_0,449762
Bonobo08006_0,512180
Bonobo10350_0,241257
Bonobo08816_0,254543
Bonobo10956_0,489482
Bonobo09480_0,416848
Bonobo00316_1,283260
Bonobo11725_0,544377
Bonobo09362_0,366767
Bonobo09484_0,366654
Bonobo08231_0,521606
Bonobo09769_0,386246
Bonobo07904_0,148625
Bonobo10312_0,252431
Bonobo08759_0,168040
Bonobo07543_0,569553
Bonobo10934_0,492565
Bonobo10557_0,247564
Bonobo08114_0,317296
Bonobo08979_0,717797
Bonobo10434_0,344991
Bonobo09594_0,595483
Bonobo09162_0,222638
Bonobo07950_0,443342
Bonobo04479_1,374128
Bonobo11016_0,418464
Bonobo07972_0,324988
Bonobo00989_1,346400
Bonobo09477_0,616349
Bonobo10605_0,307093
Bonobo11322_0,459254
Bonobo08311_0,210556
Bonobo03157_1,466440
Bonobo00593_1,311388
Bonobo00222_1,515860
Bonobo11749_0,783547
Bonobo11545_0,239017
Bonobo07486_0,330576
Bonobo09994_0,434853
Bonobo05676_1,421409
Bonobo08781_0,583243
Bonobo08489_0,587832
Bonobo07868_0,417104
Bonobo08382_0,555921
Bonobo11186_0,516502
Bonobo09850_0,303226
Bonobo09022_0,276186
Bonobo07174_0,316388
Bonobo00561_1,255436
Bonobo07563_0,376614
Bonobo08863_0,248223
Bonobo10762_0,241608
Bonobo07964_0,514718
Bonobo07306_0,286976
Bonobo00273_1,206826
Bonobo10367_0,551034
Bonobo07180_0,393785
Bonobo07962_0,429793
Bonobo01746_1,393401
Bonobo09741_0,376982
Bonobo09417_0,603183
Bonobo07622_0,464068
Bonobo09965_0,190320
Bonobo09989_0,324017
Bonobo03045_1,663032
Bonobo08091_0,377560
Bonobo11159_0,352846
Bonobo10659_0,501404
Bonobo10696_0,198068
Bonobo08583_0,332672
Bonobo07706_0,358800
Bonobo08811_0,476258
Bonobo08526_0,508157
Bonobo07111_0,523586
Bonobo09043_0,446424
Bonobo09573_0,364005
Bonobo08241_0,485395
Bonobo07447_0,294365
Bonobo08726_0,527467
Bonobo11583_0,432544
Bonobo10994_0,307248
Bonobo08587_0,391377
Bonobo01488_1,295080
Bonobo05241_1,402171
Bonobo10347_0,450439
Bonobo08184_0,518918
Bonobo07197_0,251096
Bonobo08570_0,505371
Bonobo07503_0,338908
Bonobo09316_0,650869
Bonobo10787_0,201939
Bonobo11237_0,452443
Bonobo07557_0,528869
Bonobo08983_0,366352
Bonobo09015_0,626848
Bonobo08265_0,517505
Bonobo05984_1,657672
Bonobo09398_0,527016
Bonobo01395_1,612268
Bonobo08932_0,217562
Bonobo10595_0,351670
Bonobo08669_0,342747
Bonobo11575_0,235581
Bonobo09279_0,384784
Bonobo08598_0,501808
Bonobo08120_0,293991
Bonobo08668_0,430608
Bonobo09588_0,364797
Bonobo08361_0,349104
Bonobo02136_1,567691
Bonobo10119_0,486600
Bonobo07330_0,382112
Bonobo00895_1,367327
Bonobo10454_0,354450
Bonobo10540_0,226509
Bonobo08302_0,521013
Bonobo11462_0,303016
Bonobo07669_0,508585
Bonobo02497_1,201470
Bonobo10324_0,470449
Bonobo09585_0,578070
Bonobo10935_0,1097227
Bonobo11745_0,394184
Bonobo08435_0,198972
Bonobo10114_0,558360
Bonobo07529_0,404308
Bonobo11021_0,499418
Bonobo07561_0,332417
Bonobo07257_0,530063
Bonobo07611_0,417807
Bonobo09070_0,615296
Bonobo08250_0,320442
Bonobo10921_0,238184
Bonobo07173_0,428941
Bonobo10877_0,382060
Bonobo11367_0,546477
Bonobo10185_0,477135
Bonobo09370_0,315084
Bonobo08169_0,630419
Bonobo08845_0,387084
Bonobo10389_0,540079
Bonobo09301_0,212861
Bonobo11739_0,561591
Bonobo04675_1,444020
Bonobo10298_0,463064
Bonobo01808_1,692691
Bonobo07234_0,428942
Bonobo11621_0,344877
Bonobo08090_0,597451
Bonobo10643_0,414927
Bonobo10356_0,199577
Bonobo08140_0,554116
Bonobo00137_1,467260
Bonobo07277_0,464159
Bonobo08223_0,387026
Bonobo09950_0,339721
Bonobo01862_1,509968
Bonobo09103_0,458219
Bonobo10685_0,505705
Bonobo05851_1,359312
Bonobo09619_0,580879
Bonobo11535_0,367880
Bonobo07562_0,406308
Bonobo08154_0,193839
Bonobo07585_0,320896
Bonobo10148_0,665641
Bonobo07160_0,386745
Bonobo09020_0,203224
Bonobo11666_0,410723
Bonobo10598_0,322489
Bonobo10940_0,394904
Bonobo10335_0,559492
Bonobo03289_1,507196
Bonobo01622_1,352861
Bonobo10756_0,501432
Bonobo09275_0,639764
Bonobo07921_0,332628
Bonobo10107_0,658693
Bonobo07346_0,467521
Bonobo11465_0,612654
Bonobo07722_0,192833
Bonobo04049_2,526671
Bonobo07827_0,281496
Bonobo11530_0,359170
Bonobo09941_0,488928
Bonobo07632_0,304932
Bonobo09258_0,666676
Bonobo10450_0,399316
Bonobo08792_0,551005
Bonobo08105_0,292829
Bonobo01480_1,345058
Bonobo07872_0,494654
Bonobo08557_0,385613
Bonobo07607_0,312081
Bonobo07664_0,323386
Bonobo10130_0,620173
Bonobo11092_0,765983
Bonobo10266_0,462112
Bonobo11040_0,272299
Bonobo10133_0,368460
Bonobo08834_0,325980
Bonobo09923_0,185408
Bonobo08279_0,407976
Bonobo08025_0,515388
Bonobo01629_1,450483
Bonobo08153_0,337081
Bonobo08841_0,654681
Bonobo08482_0,239591
Bonobo07477_0,609899
Bonobo09747_0,375487
Bonobo02323_1,342024
Bonobo08211_0,479213
Bonobo08019_0,329030
Bonobo10232_0,555770
Bonobo08349_0,280731
Bonobo07510_0,373619
Bonobo10981_0,378561
Bonobo11286_0,355122
Bonobo07696_0,350409
Bonobo11516_0,653780
Bonobo05540_1,262073
Bonobo11555_0,610297
Bonobo11742_0,536880
Bonobo09590_0,347250
Bonobo10955_0,586750
Bonobo09322_0,292912
Bonobo09475_0,562718
Bonobo08806_0,466487
Bonobo11455_0,413872
Bonobo11229_0,1110000
Bonobo11309_0,404571
